Unnamed: 0,Unnamed: 1,Input,Change,Gain,Loss,Avg Gain,Avg Loss,HM,14-day HMA
,1,44.3389,,0.0,0.0,,,,
,2,44.0902,-0.25,0.0,0.25,,,,
,3,44.1497,0.06,0.06,0.0,,,,
,4,43.6124,-0.54,0.0,0.54,,,,
,5,44.3278,0.72,0.72,0.0,,,,
,6,44.8264,0.5,0.5,0.0,,,,
,7,45.0955,0.27,0.27,0.0,,,,
,8,45.4245,0.33,0.33,0.0,,,,
,9,45.8433,0.42,0.42,0.0,,,,
,10,46.0826,0.24,0.24,0.0,,,,
,11,45.8931,-0.19,0.0,0.19,,,,
,12,46.0328,0.14,0.14,0.0,,,,
,13,45.614,-0.42,0.0,0.42,,,,
,14,46.282,0.67,0.67,0.0,,,,
,15,46.282,0.0,0.0,0.0,0.24,0.1,2.4,70.59
,16,46.0028,-0.28,0.0,0.28,0.22,0.11,1.97,66.33
,17,46.0328,0.03,0.03,0.0,0.21,0.1,2.0,66.67
,18,46.4116,0.38,0.38,0.0,0.22,0.1,2.27,69.42
,19,46.2222,-0.19,0.0,0.19,0.21,0.1,1.98,66.44
,20,45.6439,-0.58,0.0,0.58,0.19,0.14,1.38,57.98
,21,46.2122,0.57,0.57,0.0,0.22,0.13,1.7,62.96
,22,46.2521,0.04,0.04,0.0,0.21,0.12,1.73,63.37
,23,45.7137,-0.54,0.0,0.54,0.19,0.15,1.28,56.14
,24,46.4515,0.74,0.74,0.0,0.23,0.14,1.66,62.41
,25,45.7835,-0.67,0.0,0.67,0.21,0.18,1.21,54.75
,26,45.3548,-0.43,0.0,0.43,0.2,0.19,1.02,50.5
,27,44.0288,-1.33,0.0,1.33,0.18,0.28,0.67,40.12
,28,44.1783,0.15,0.15,0.0,0.18,0.26,0.71,41.52
,29,44.2181,0.04,0.04,0.0,0.17,0.24,0.72,41.86
,30,44.5672,0.35,0.35,0.0,0.18,0.22,0.83,45.36
,31,43.4205,-1.15,0.0,1.15,0.17,0.29,0.6,37.5
,32,42.6628,-0.76,0.0,0.76,0.16,0.32,0.5,33.33
,33,43.1314,0.47,0.47,0.0,0.18,0.3,0.61,37.89
